municipio,populacaoAtendida,produzida,tratada,consumido
291460,73380,3876.43,3876.43,2965.38
291470,66310,3135.17,3135.17,2346.76
291500,7050,260.41,260.41,245.53
291510,11077,463.18,463.18,350.95
291535,4447,195.05,195.05,136.94
291580,19381,841.72,841.72,678.46
291640,76184,5695.08,5695.08,3972.65
291650,18577,730.65,0,564.98
291670,5229,212.63,212.63,150.8
291680,16014,729.89,729.89,574.28
291685,14657,681.88,681.88,523.03
291690,9899,184.46,149,378.01
291700,16097,560.22,560.22,388.98
291710,18460,3105,3105,3105
291720,8253,414.62,414.62,257.37
291733,6477,224.66,224.66,202.47
291740,4227,157.08,0,120.3
291750,68244,4138.29,4138.29,2489.89
291760,46893,1757.96,1757.96,1482.33
291770,21244,2004.14,2004.14,1988.44
291800,161528,8200.98,8200.98,5563.17
291810,22608,1280.65,1003.47,1018.8
291835,22003,1025.82,1025.82,710.5
291840,211971,21432,21432,20993
291850,15630,720.96,720.96,499.37
291860,3758,201.18,201.18,155.15
291870,2512,91.26,91.26,82.67
291875,4416,148.91,148.91,127.38
291900,2595,158.85,158.85,70.37
291905,4499,363.3,363.3,344.89
291910,6109,90.49,0,168.66
291915,26684,1296,1296,897.36
291930,8683,400.54,400.54,330.43
291940,5705,144.13,144.13,130.13
291950,28768,1674.97,1674.97,990.67
291960,9759,472.15,472.15,260.2
291970,14847,988.19,988.19,988.19
291980,45968,1894.3,1324.01,1148.7
291990,4000,190,0,130
291995,4364,215.8,215.8,145.62
292000,7387,402.52,402.52,269.09
292010,12158,359.12,359.12,433.96
292020,9673,429.98,429.98,320.79
292030,3794,0,0,138.8
292040,6880,235.88,235.88,200.66
292050,15050,564.42,546.51,462.29
292080,7619,264.02,264.02,244.12
292105,4930,191.5,191.5,140.28
292120,20084,929.98,929.98,929.98
292130,10169,545.92,545.92,342.69
292140,3279,111.74,0,101.06
292145,2739,100.86,100.86,77.57
292150,18979,1175.01,0,713.24
292160,6239,278.58,278.58,198.77
292170,23383,832.02,0,711.39
292180,7169,251.61,251.61,211.79
292190,10244,750.5,450.5,580.2
292205,7095,256.53,256.53,223.54
292210,17951,684.78,684.78,714.92
292225,2648,121.78,121.78,83.65
292265,9378,565.07,0,336.14
292270,7451,369.61,369.61,244.12
292273,8125,311.35,311.35,295.65
292280,4449,206.75,206.75,111.21
292285,6497,248.22,248.22,175.98
292290,13981,564.63,0,436.57
292303,221,0,0,0
292305,7487,204.87,0,149.09
292310,14838,555.08,0,500.43
292320,6858,357,357,357
292335,7760,303.52,303.52,241.3
292340,10935,509.35,509.35,383.6
292350,5213,248.54,0,157.34
292360,22077,1065.22,1065.22,794.05
292370,NA,NA,NA,NA
292380,20061,0,0,556.65
292400,104423,7371.58,7371.58,4717.13
292405,8829,293.14,280.35,293.14
292420,5697,0,0,152.61
292430,NA,NA,NA,NA
292440,NA,NA,NA,NA
292450,4410,230.29,230.29,162.78
292460,NA,NA,NA,NA
292465,6832,201.63,201.63,201.5
292470,6262,241.31,241.31,174.12
292480,18142,749.22,749.22,851.4
292490,4244,127.4,127.4,105.58
292500,18837,803.05,803.05,520.91
292510,41921,1866.83,1866.83,1496.42
292525,16044,843.28,843.28,445.57
292540,7723,477.62,477.62,350.58
292560,14712,784.53,784.53,517.29
292570,5819,210.18,210.18,174.91
292580,15568,720.28,720.28,543.31
292590,18894,938.19,0,644.43
292593,8461,312.29,312.29,199.34
292595,11277,588.69,588.69,352.84
292600,18752,3315.22,3315.22,2793
292610,10117,0,0,289.17
292630,29278,1332.78,1332.78,1076.47
292640,NA,NA,NA,NA
292650,1741,94.7,0,57.12
292660,38973,1797.48,0,1289.61
292665,407,17.74,17.74,14.3
292670,7062,371.8,371.8,232.98
292680,11876,509.29,509.29,387.24
292690,6385,281.12,281.12,204.1
292710,7912,265,0,190.75
292720,24937,1135.44,1108.24,783.67
292750,13243,922.06,922.06,338.99
292760,9690,0,0,284.24
292790,9225,401.43,401.43,295.9
292800,29744,1030.65,1030.65,717.42
292820,19658,854.01,854.01,669.23
292830,4791,318.12,318.12,139.13
292850,7706,394.28,394.28,274.4
292880,41856,2247.59,2247.59,1263.41
292895,8977,323.97,323.97,323.97
292905,12696,907.39,907.39,668.53
292925,18441,840.88,840.88,621.87
292937,8771,292.14,292.14,272.52
292970,8199,304.1,0,264.16
292980,8523,237.19,237.19,206.74
292990,25221,733.96,151.77,733.96
293000,10740,920,920,920
293010,79416,3779.41,3696.76,3125.66
293015,NA,NA,NA,NA
293020,NA,NA,NA,NA
293030,11274,491.59,491.59,332.47
293040,9005,508.23,508.23,249.93
293050,76904,7873.65,0,6633.91
293060,13373,622.59,622.59,511.15
293075,NA,NA,NA,NA
293076,8079,301.23,0,239.67
293077,23583,1125.58,1125.58,1125.58
293080,7749,241.16,241.16,166.15
293090,11763,584.64,234.64,541
293100,11642,683.57,683.57,415.74
293105,11281,548.52,548.52,321.43
293110,7220,433.44,433.44,212.45
293130,13365,335.53,335.53,292.19
293150,19836,1703.91,0,1292.1
293180,4894,246.74,246.74,190.26
293190,28873,1248.09,2.26,923.94
293200,15999,1123.19,1123.19,1170.67
293210,9971,448.75,448.75,279.55
293240,14483,772.97,772.97,516.73
293245,9656,267.23,267.23,220.47
293260,NA,NA,NA,NA
293280,14085,472.37,472.37,428.03
293300,23287,794.44,794.44,652.93
293305,12471,471.81,471.81,403.53
293310,7435,295.38,295.38,310.1
293315,11878,412,0,324.8
293330,343230,16241.13,16241.13,11600.41
293340,7266,253.07,253.07,213.35
293360,45562,5434.44,5434.44,5434.44
310100,9451,474.4,474.4,370.7
310170,33099,2023.49,2011.47,1557.75
310270,4235,151.97,142.79,112.9
310340,25662,1529.03,1506.79,1234.13
310520,3081,198.57,197.42,109.39
310650,12143,290.03,247.68,183.86
310665,2650,179.22,145.18,134.84
310825,2436,141.38,0,116.92
311270,9104,474.04,0,346.5
311300,11322,373.56,363.11,287.39
311547,2120,120.12,120.12,86.61
311610,8094,271.13,263.25,90.32
311700,5705,186.54,177.91,137.95
311783,2040,69.25,0,59.11
311950,6324,360.07,327.84,292.1
312030,2670,159.74,159.74,118.36
312087,5297,212.29,212.29,177.54
312235,5575,276.16,276.16,240.59
312245,7284,259,259,231.52
312430,18624,1408.06,1408.06,1030.98
312560,5420,276.52,273.06,197.51
312650,6901,410.28,202.84,158.79
312670,15820,644.75,320.34,643.47
312707,4347,101.23,0,100.77
312733,NA,NA,NA,NA
312780,6485,321.65,252.92,242.53
312965,3149,158.35,0,131.6
313065,2657,120.9,59.52,98.19
313210,12868,681.5,681.5,552.28
313330,17883,948.44,942.74,820.75
313400,10246,478.98,469.58,335.42
313470,8136,419.39,412.3,340.5
313505,18288,996.41,996.41,874.92
313510,61985,3357.57,3357.57,2889.14
313520,33868,2333.95,2333.95,1783.43
313535,2430,152.55,0,126.91
313545,6132,154.28,25.6,154.28
313580,18745,1103.12,1085.88,775
313600,10646,504.18,500.72,427.17
313650,6705,391.86,391.86,289.01
313652,2040,50.44,0,47.6
313657,3661,121.42,81.87,81.87
313695,3141,180.34,180.34,148.53
313865,4622,242.15,168.16,195.92
313925,NA,NA,NA,NA
313930,12034,710.54,710.54,610.6
314055,6835,331.59,331.59,274.15
314085,5103,331.31,224.64,257.38
314100,9616,568.64,568.64,395.83
