municipio,tratado
280450,NA
280460,NA
280470,NA
280500,NA
280520,NA
280540,NA
280550,NA
280560,NA
280570,NA
280600,NA
280700,NA
280710,115.37
280730,NA
280740,NA
290010,NA
290020,203.74
290035,NA
290040,NA
290050,NA
290100,19.1
290115,NA
290120,NA
290130,NA
290135,NA
290150,NA
290160,NA
290170,NA
290180,NA
290200,NA
290210,21.37
290260,NA
290265,NA
290270,NA
290280,0
290290,19.63
290300,NA
290323,NA
290327,NA
290350,NA
290360,NA
290370,0
290380,NA
290390,1450
290395,NA
290400,NA
290405,NA
290410,NA
290420,NA
290430,0
290440,NA
290450,NA
290460,134.43
290475,NA
290480,NA
290485,20.42
290500,NA
290510,NA
290515,NA
290520,NA
290530,NA
290550,NA
290590,0
290600,39.95
290620,NA
290640,NA
290660,NA
290670,NA
290680,NA
290682,NA
290685,NA
290687,68.35
290689,62.11
290710,163
290720,910
290730,18.39
290755,4.83
290760,NA
290770,85.14
290780,NA
290790,NA
290810,NA
290840,96.62
290870,NA
290880,NA
290900,NA
290910,NA
290920,0
290950,75.54
290960,NA
290990,611.15
291010,NA
291030,NA
291040,145.08
291070,298.12
291075,NA
291077,NA
291080,14518.52
291085,NA
291125,0
291130,94.11
291140,38.72
291165,NA
291170,387.52
291185,NA
291190,NA
291200,NA
291220,NA
291240,NA
291250,NA
291260,NA
291300,49.89
291310,NA
291320,606.66
291330,NA
291340,NA
291350,55.82
291370,NA
291380,NA
291400,97.15
291410,164.67
291420,NA
291430,NA
291440,NA
291460,364.37
291470,229.85
291500,NA
291510,NA
291535,NA
291580,20.01
291640,522.21
291650,NA
291670,0
291680,NA
291685,NA
291690,0
291700,15.18
291710,0
291720,0
291733,NA
291740,NA
291750,91.22
291760,521.75
291770,315.86
291800,5550.36
291810,NA
291835,NA
291840,4141
291850,NA
291860,NA
291870,NA
291875,NA
291900,0
291905,NA
291910,NA
291915,NA
291930,217.8
291940,NA
291950,NA
291960,0
291970,NA
291980,0
291990,NA
291995,NA
292000,NA
292010,NA
292020,NA
292030,NA
292040,NA
292050,NA
292080,NA
292105,NA
292120,126.58
292130,NA
292140,NA
292145,NA
292150,NA
292160,NA
292170,447.9
292180,NA
292190,450
292205,NA
292210,NA
292225,44.24
292265,NA
292270,NA
292273,NA
292280,NA
292285,NA
292290,NA
292303,NA
292305,NA
292310,0
292320,NA
292335,NA
292340,NA
292350,106.89
292360,NA
292370,NA
292380,NA
292400,1322.54
292405,NA
292420,NA
292430,NA
292440,NA
292450,NA
292460,NA
292465,70
292470,NA
292480,NA
292490,NA
292500,NA
292510,NA
292525,NA
292540,NA
292560,NA
292570,0
292580,NA
292590,NA
292593,NA
292595,NA
292600,929
292610,NA
292630,19.91
292640,NA
292650,NA
292660,0
292665,NA
292670,131.07
292680,NA
292690,NA
292710,0
292720,75.38
292750,20
292760,103.85
292790,202.24
292800,NA
292820,NA
292830,NA
292850,0
292880,16.12
292895,NA
292905,NA
292925,NA
292937,NA
292970,NA
292980,NA
292990,NA
293000,NA
293010,89.42
293015,NA
293020,NA
293030,NA
293040,NA
293050,273.57
293060,NA
293075,NA
293076,NA
293077,0
293080,NA
293090,0
293100,NA
293105,NA
293110,NA
293130,0
293150,0
293180,NA
293190,386.73
293200,NA
293210,189.93
293240,NA
293245,NA
293260,NA
293280,NA
293300,NA
293305,NA
293310,NA
293315,244.23
293330,9346.16
293340,NA
293360,0
310100,105.68
310170,1123.04
310270,NA
310340,555.95
310520,0
310650,110.31
310665,NA
310825,NA
311270,89.42
311300,19
311547,19.88
311610,NA
311700,0
311783,NA
311950,120.35
312030,27.71
312087,NA
312235,NA
312245,60.11
312430,NA
312560,0
312650,NA
312670,411.82
312707,NA
312733,NA
312780,90.54
312965,NA
313065,26.7
313210,138.21
313330,274.05
313400,192.46
313470,0
313505,174.55
313510,579.83
313520,328.51
313535,NA
313545,76.74
313580,397.95
313600,215.01
313650,0
313652,59.16
313657,24.37
313695,0
313865,15.45
313925,NA
313930,3.08
314055,168.19
314085,NA
314100,NA
314140,0
314225,NA
314270,0
314290,2.98
314315,0
314345,NA
314465,NA
314505,63.4
314530,9.28
